title,author,year,doi,abstract
Generative {AI} revolution in cybersecurity: a comprehensive review of threat intelligence and operations,"Uddin, Mueen and Irshad, Muhammad Saad and Kandhro, Irfan Ali and Alanazi, Fuhid and Ahmed, Fahad and Maaz, Muhammad and Hussain, Saddam and Ullah, Syed Sajid",2025,10.1007/s10462-025-11219-5,"Cyber threats are increasingly frequent in today’s world, posing challenges for organizations and individuals to protect their data from cybercriminals. On the other hand, Generative Artificial Intelligence (GAI) technology offers an efficient way to automatically address these issues with the help of AI models and algorithms. It can work on more critical security aspects where human intervention is required and handle everyday threat situations autonomously. This research paper explores GAI in enhancing cybersecurity by leveraging AI Models and algorithms. GAI can autonomously address common security issues, detect novel threats, and augment human intervention in critical security aspects. Moreover, this research study also highlights autonomous security enhancements, improved security posture against emerging threats, anomaly detection, and threat response. Besides this, we have discussed the GAI limitations, such as occasional incorrect results, expensive training, and the potential for misuse by malicious actors for illegal activities. This research study also provides valuable insights into the balanced adoption of GAI in cybersecurity, ensuring effective threat migration without compromising system integrity."
Artificial intelligence and machine learning in cybersecurity: a deep dive into state-of-the-art techniques and future paradigms,"Mohamed, Nachaat",2025,10.1007/s10115-025-02429-y,"The integration of artificial intelligence (AI) and machine learning (ML) into cybersecurity has driven a transformational shift, significantly enhancing the ability to detect, respond to, and mitigate complex cyber threats. Traditional defense mechanisms are increasingly inadequate against sophisticated attacks, necessitating the adoption of AI-driven security solutions. This review paper presents a novel, in-depth analysis of state-of-the-art AI and ML techniques applied to intrusion detection, malware classification, behavioral analysis, and threat intelligence. Unlike existing studies, this work not only synthesizes current advancements but also identifies key limitations and emerging research gaps in AI-powered cybersecurity. A key novelty of this paper lies in its comprehensive evaluation of adversarial defense mechanisms, addressing how AI models can be hardened against adversarial attacks and data manipulation techniques. Additionally, we explore the growing role of federated learning in collaborative threat intelligence, offering privacy-preserving security models that enhance real-time cyber defense across decentralized networks. Another major contribution is our discussion on the integration of AI with quantum computing for cryptographic resilience, as well as its convergence with IoT security, shaping the next generation of adaptive cybersecurity frameworks. Furthermore, this paper proposes a forward-looking roadmap for sustainable AI-driven cybersecurity, emphasizing the need for adaptive adversarial defense systems, federated learning for global threat mitigation, and AI-enhanced cyber resilience frameworks. By bridging the gap between current AI-driven security solutions and future paradigms, this work serves as a valuable resource for researchers, cybersecurity professionals, and policymakers aiming to develop intelligent, scalable, and resilient cybersecurity architectures. While AI and ML are reshaping modern cybersecurity, their effectiveness hinges on continuous innovation, adversarial robustness, and interdisciplinary collaboration to combat an ever-evolving threat landscape."
Leveraging blockchain for cybersecurity detection using hybridization of prairie dog optimization with differential evolution on internet of things environment,"Alruwaili, Fahad F.",2025,10.1038/s41598-025-10410-6,"The Internet of Things (IoT) is emerging as a functional occurrence in developing numerous critical applications. These applications rely on centralized storage, raising concerns about confidentiality, security, and single points of failure. Conventional IoT security methods are inadequate to address the growing nature of attacks and threats. Blockchain technology has been employed by many investigators in intrusion detection systems for enhanced detection and monitoring, inhibition of mischievous attacks or activities, and tamper-proof dealings and storage in IoT networks and devices. At present, using artificial intelligence knowledge, mainly deep learning and machine learning approaches, endures the basics to deliver a dynamically improved and up-to-date security method for next-generation IoT systems. This study proposes a Leveraging Blockchain for Cybersecurity Detection Using Golden Jackal Optimization (LBCCD-GJO) method in IoT. The presented LBCCD-GJO method initially applies data pre-processing using min–max normalization to convert input data into a beneficial format. Moreover, the feature selection process is implemented by utilizing the golden jackal optimization (GJO) model. Furthermore, the proposed LBCCD-GJO model employs the gated recurrent unit (GRU) technique for the classification process of cyberattacks. Finally, the hyperparameter selection of the GRU technique is performed by implementing the hybrid of prairie dog optimization with a differential evolution (PDO-DE) technique. An extensive set of simulations was performed to exhibit the promising outcomes of the LBCCD-GJO methodology under the TON\_IoT\_Train\_Test\_Network dataset. The experimental validation of the LBCCD-GJO methodology is 99.67\% compared to the previous techniques."
"Advancing cybersecurity in {ASEAN}: current trends, emerging challenges, and opportunities for enhanced resilience","Ali, Auwal Shehu and Zaaba, Zarul Fitri and Singh, Manmeet Mahinderjit and Anuar, Nor Badrul and Shariff, Mohd Ridzuan Bin M.",2025,10.1007/s10207-025-01111-2,"Cybersecurity in the ASEAN region has evolved significantly due to technological advancements and operational developments. Understanding the research landscape through bibliometric analysis is essential for developing effective strategies against emerging cybersecurity threats. While previous studies have examined the network and impact of authors, publishers, and articles, only some have explored the intellectual structure and research dynamics specific to ASEAN cybersecurity. This study addresses this gap by mapping the intellectual and conceptual structure of ASEAN cybersecurity research from 2006 to 2023 using bibliometric and network analysis. It identifies key trends, influential contributors, and thematic developments, focusing on authors, publishers, institutions, and nations. Core research keywords and their interconnections are also analysed to reveal prevailing themes and conceptual frameworks. Findings indicate a substantial increase in cybersecurity-related publications, with dominant research areas including AI and machine learning in cybersecurity, privacy and big data management, system threats, and identity verification for users and devices. The study highlights the most productive researchers and influential publications shaping the field. Based on these insights, a conceptual framework is proposed to guide policymakers, researchers, and practitioners in strengthening cybersecurity resilience in the ASEAN region. Additionally, the research outlines potential directions for future investigations, offering a comprehensive foundation for advancing cybersecurity scholarship and practice in the region."
Design tactics for tailoring transformer architectures to cybersecurity challenges,"Avci, Cigdem and Tekinerdogan, Bedir and Catal, Cagatay",2024,10.1007/s10586-024-04355-0,"In the rapidly evolving landscape of cyber threats, effective defense strategies are crucial for safeguarding sensitive information and critical systems. Deep learning methods, notably the Transformer architecture, have shown immense potential in addressing cybersecurity challenges. However, customizing, and adapting Transformer architectures for cybersecurity applications presents a challenge, demanding the utilization of effective strategies to achieve optimal performance. This study presents a comprehensive analysis of design tactics employed in tailoring Transformer architectures specifically for cybersecurity problems. Design tactics, defined as strategic solutions to architectural challenges based on well-justified design decisions, are explored in-depth within the context of cybersecurity. By examining the modifications and adaptations made to the original Transformer architecture, this study unveils the design decisions and strategies crucial for successful implementation in diverse cybersecurity domains. The findings emphasize the significance of aligning design tactics with the unique business requirements and quality factors of each specific application domain. This study contributes valuable insights into the utilization of design tactics for customizing Transformer architectures in cybersecurity, paving the way for enhanced defense strategies against the dynamic and evolving nature of cyber threats."
Building a holistic cybersecurity framework for e-{Government} based on a systematic analysis of proposals,"Figueroa, Victor and Sánchez Crespo, Luis Enrique and Santos-Olmo, Antonio and Rosado, David G. and Fernández-Medina, Eduardo",2025,10.1007/s10207-025-01024-0,"The increasing digitisation of Government services poses critical challenges in cybersecurity. Existing security frameworks, despite their proliferation, often fail to effectively integrate interoperability and secure data exchange, nor do they present adaptive risk management, or strategic cybersecurity governance, exposing sensitive information and critical infrastructures to escalating cyber threats. This research addresses this gap by proposing the GAUCHO (Government adaptive unified cybersecurity holistic orchestration) framework, a holistic model that integrates an adaptive risk management methodology based on MARISMA, an interoperability scheme for secure data exchange based on X-Road, and a strategic cybersecurity governance component. The proposal, resulting from a systematic literature review, aims to offer a comprehensive solution for the protection of e-Governments, with a focus on the citizen, sustainability, and regulatory compliance. The GAUCHO framework is presented as a solution with which it seeks to safeguard digital Government environments."
An ensemble-based framework for user behaviour anomaly detection and classification for cybersecurity,"Folino, Gianluigi and Otranto Godano, Carla and Pisani, Francesco Sergio",2023,10.1007/s11227-023-05049-x,"Nowadays, the speed of the user and application logs is so quick that it is almost impossible to analyse them in real time without using high-performance systems and platforms. In cybersecurity, human behaviour is responsible directly or indirectly for the most common attacks (i.e. ransomware and phishing). To monitor user behaviour, it is necessary to process fast user logs coming from different and heterogeneous sources, having part of the data or some entire sources missing. A framework based on the elastic stack (ELK) to process and store log data in real time from different users and applications is proposed for this aim. This system generates an ensemble of models to classify user behaviour and detect anomalies in real time, exploiting the advantages of the ELK-based software architecture and of the Kubernetes platform. In addition, a distributed evolutionary algorithm is used to classify the users by exploiting their digital footprints derived from many data sources. Experiments conducted on two real-life data sets verify the approach’s goodness in detecting anomalies in user behaviour, coping with missing data and lowering the number of false alarms."
Deep learning for intrusion detection in emerging technologies: a comprehensive survey and new perspectives,"Neto, Euclides Carlos Pinto and Iqbal, Shahrear and Buffett, Scott and Sultana, Madeena and Taylor, Adrian",2025,10.1007/s10462-025-11346-z,"Intrusion Detection Systems (IDS) can help cybersecurity analysts detect malicious activities in computational environments. Recently, Deep Learning (DL) methods in IDS have demonstrated notable performance, revealing new underlying cybersecurity patterns in systems’ operations. Conversely, issues such as low performance in real systems, high false positive rates, and lack of explainability hinder its real-world deployment. In addition, the adoption of many new emerging technologies, such as cloud, edge computing, and the Internet of Things (IoT) introduces new forms of vulnerabilities. Therefore, the improvement of intrusion detection in emerging technologies depends on the clear definitions of challenging security problems and the limitations of existing solutions. The main goal of this research is to conduct a literature review of DL solutions for intrusion detection in emerging technologies to understand the state-of-the-art solutions and their limitations. Specifically, we conduct a comprehensive review of IDS-based automated threat defense methods, with the objective of identifying the landscape of, and opportunities for, incorporating DL methods into IDS. To accomplish this, a thorough review of IDS methods is conducted for multiple platforms and technologies, focusing on the use of common DL techniques. To expand on the study, several widely used IDS datasets are evaluated to assess their ability to train DL models and support researchers in understanding their characteristics and limitations. The analysis of attack vectors in emerging technologies is conducted, enabling an in-depth evaluation of security solutions in the future. Our findings show many clear opportunities for future research, including addressing the gap between solutions for controlled/simulated environments versus real systems, overcoming trustworthiness issues, including lack of explainability, and further exploring operationalization issues such as deployable solutions and continuous detection. Our analysis highlights that the operationalization of DL for intrusion detection in emerging technologies represents a key challenge to be addressed in the next few years."
"Generative {AI} for cyber threat intelligence: applications, challenges, and analysis of real-world case studies","Balasubramanian, Prasasthy and Liyana, Sonali and Sankaran, Hamsini and Sivaramakrishnan, Shambavi and Pusuluri, Sruthi and Pirttikangas, Susanna and Peltonen, Ella",2025,10.1007/s10462-025-11338-z,"This paper presents a comprehensive survey of the applications, challenges, and limitations of Generative AI (GenAI) in enhancing threat intelligence within cybersecurity, supported by real-world case studies. We examine a wide range of data sources in Cyber Threat Intelligence (CTI), including security reports, blogs, social media, network traffic, malware samples, dark web data, and threat intelligence platforms (TIPs). This survey provides a full reference for integrating GenAI into CTI. We discuss various GenAI models such as Large Language Models (LLMs) and Deep Generative Models (DGMs) like Variational Autoencoders (VAEs), Generative Adversarial Networks (GANs), and Diffusion Models, explaining their roles in detecting and addressing complex cyber threats. The survey highlights key applications in areas such as malware detection, network traffic analysis, phishing detection, threat actor attribution, and social engineering defense. We also explore critical challenges in deploying GenAI, including data privacy, security concerns, and the need for interpretable and transparent models. As regulations like the European Commission’s AI Act emerge, ensuring trustworthy AI solutions is becoming more crucial. Real-world case studies, such as the impact of the WannaCry ransomware, the rise of deepfakes, and AI-driven social engineering, demonstrate both the potential and current limitations of GenAI in CTI. Our goal is to provide foundational insights and strategic direction for advancing GenAI’s role in future cybersecurity frameworks, emphasizing the importance of innovation, adaptability, and ongoing learning to enhance resilience against evolving cyber threats. Ultimately, this survey offers critical insights into how GenAI can shape the future of cybersecurity by addressing key challenges and providing actionable guidance for effective implementation."
"Machine learning-based network intrusion detection for big and imbalanced data using oversampling, stacking feature embedding and feature extraction","Talukder, Md Alamin and Islam, Md Manowarul and Uddin, Md Ashraf and Hasan, Khondokar Fida and Sharmin, Selina and Alyami, Salem A. and Moni, Mohammad Ali",2024,10.1186/s40537-024-00886-w,"Cybersecurity has emerged as a critical global concern. Intrusion Detection Systems (IDS) play a critical role in protecting interconnected networks by detecting malicious actors and activities. Machine Learning (ML)-based behavior analysis within the IDS has considerable potential for detecting dynamic cyber threats, identifying abnormalities, and identifying malicious conduct within the network. However, as the number of data grows, dimension reduction becomes an increasingly difficult task when training ML models. Addressing this, our paper introduces a novel ML-based network intrusion detection model that uses Random Oversampling (RO) to address data imbalance and Stacking Feature Embedding based on clustering results, as well as Principal Component Analysis (PCA) for dimension reduction and is specifically designed for large and imbalanced datasets. This model’s performance is carefully evaluated using three cutting-edge benchmark datasets: UNSW-NB15, CIC-IDS-2017, and CIC-IDS-2018. On the UNSW-NB15 dataset, our trials show that the RF and ET models achieve accuracy rates of 99.59\% and 99.95\%, respectively. Furthermore, using the CIC-IDS2017 dataset, DT, RF, and ET models reach 99.99\% accuracy, while DT and RF models obtain 99.94\% accuracy on CIC-IDS2018. These performance results continuously outperform the state-of-art, indicating significant progress in the field of network intrusion detection. This achievement demonstrates the efficacy of the suggested methodology, which can be used practically to accurately monitor and identify network traffic intrusions, thereby blocking possible threats."
"Big {Data} {Analytics} in {IoT}, social media, {NLP}, and information security: trends, challenges, and applications","Taha, Kamal",2025,10.1186/s40537-025-01192-9,"This paper presents a comprehensive, domain-specific survey and experimental evaluation of machine learning techniques for Big Data Analytics across four critical domains: IoT, Social Media, Natural Language Processing (NLP), and Information Security. A novel taxonomic framework is introduced to classify and analyze the suitability of algorithms based on empirical, experimental, and computational perspectives. The study integrates large-scale experimental benchmarking of key techniques—including CNN, XGBoost, Self-Supervised Learning (SSL), Graph Neural Networks (GNN), ELM, KNN, and Decision Trees—using real-world and synthetic datasets, and evaluates them across five performance metrics: accuracy, F1-score, precision, recall, and computational time. Key findings reveal that: (1) GNN and Self-Supervised Learning (SSL) are top performers in terms of predictive performance and efficiency in domains such as IoT and Social Media, (2) XGBoost and CNN offer superior accuracy and robustness across structured and unstructured data tasks, though CNN incurs higher computational costs, (3) ELM and Decision Trees are better suited for lightweight or interpretable applications, and (4) KNN generally underperforms in scalability and predictive strength for large-scale tasks. The taxonomy and experiments collectively demonstrate the need for context-aware algorithm selection, particularly for real-time and scalable Big Data applications. By aligning algorithmic properties with domain-specific challenges, this study offers actionable insights for researchers and practitioners seeking effective analytic strategies in the evolving landscape of Big Data."
Application of big data technology in enterprise information security management,"Li, Ping and Zhang, Limin",2025,10.1038/s41598-025-85403-6,"This study aims to explore the application value of big data technology (BDT) in enterprise information security (EIS). Its goal is to develop a risk prediction model based on big data analysis to enhance the information security protection capability of enterprises. A big data analysis system that can monitor and intelligently identify potential security risks in real-time is constructed by designing complex network analysis algorithms and machine learning models. For different types of security threats, the system uses feature engineering and model training processes to extract key risk indicators and optimize model prediction performance. The experimental results show that the constructed risk prediction model has excellent performance on the test set, and its Area Under the Curve reaches 0.95, indicating that the model has good differentiation ability and high prediction accuracy. In addition, in the multi-class risk identification task, the model achieves an average precision of 0.87. Compared with the traditional method, it has remarkably improved the early warning accuracy and response speed of enterprises to various information security incidents. Therefore, this study confirms the effectiveness and feasibility of applying BDT to EIS risk management, and the successfully constructed prediction model provides strong technical support for EIS protection."
Identifying {Open}-{Source} {Threat} {Detection} {Resources} on {GitHub}: {A} {Scalable} {Machine} {Learning} {Approach},"Kern, Manuel and Landauer, Max and Skopik, Florian and Weippl, Edgar",2025,10.1007/s10207-025-01069-1,"Many businesses rely on open-source software modules to build their technology stacks. However, those who lack domain expertise may struggle to find the right software due to unfamiliar terminology and specific names. As a consequence, search engines and other platforms often cannot be utilized effectively to discover appropriate solutions. There is thus a need for a more applicable approach to assist non-domain experts in navigating the vastness of available repositories, enabling them to efficiently discover and select the right solution for their business needs. To overcome these gaps, we introduce an approach that supports finding unpopular yet important open-source software repositories on GitHub using advanced machine learning techniques. For this purpose, we propose novel strategies for information gathering and data pre-processing that resolve scalability issues of existing solutions and enable clustering of repositories even when topics, descriptions, or repository names are unclear or absent. For our evaluation, we gathered a dataset of 221,971 repositories using GitHub search and keywords related to incident detection. We show that our approach is able to separate threat detection repositories from others with an F1-score of 0.93."
Interdisciplinary framework for cyber-attacks and anomaly detection in industrial control systems using deep learning,"Gulzar, Qawsar and Mustafa, Khurram",2025,10.1038/s41598-025-89650-5,"The reliability of Industrial Control Systems (ICS) is crucial given their substantial importance in society and business. These systems are susceptible to physical and cyber-attacks, which can seriously affect human life and the economy. Given the growing prevalence of Internet of Things (IoT) technologies and the possibility of cyber warfare, it is essential to prioritize safeguarding Industrial Control Systems (ICS) from cyberattacks. Previous studies revealed an imbalance in the ICS datasets. As a result, models didn’t do well in minority classes but did well in majority classes, which made the intrusion detection system (IDS) less useful. The key objective is to provide insights into the normal functioning of the system and the disruptions produced by cyberattacks. In this study, we introduced an interdisciplinary framework that aims to enhance network intrusion detection systems (NIDSs). In this framework, we introduced an IDS via feature selection and feature reduction technique(s) with the attention-driven lightweight deep neural networks: Deep Recurrent Neural Networks (RNN), Deep Long Short-Term Memory (LSTM), and Deep Bi-directional Long Short-Term Memory (Bi-LSTM). Several feature selection techniques exclude features that fail to match the specified criteria. We employed Sparse Principal Component Analysis (SPCA) to extract higher-order features. We conducted experiments on the three datasets: the Secure Water Treatment System (SWaT), the Water Distribution (WADI), and the Gas Heating Loop (GHL). Among the models used in the framework, the attention-driven Deep LSTM model produced better results than the others, revealing lower training and testing times for the three datasets. In terms of precision, recall, F1-score, computational speed, and ability to work with larger datasets and different ICSs, the proposed framework is better than previous methods in detecting cyberattacks. This highlights how useful it is in the real world."
